,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album_name,short_album_name,release_date,album_id
352,0.237,0.0567,10.0,-25.978,1.0,0.0421,0.969,0.000433,0.122,0.153,83.635,audio_features,3pa2443CgkG70yPlFPecWw,spotify:track:3pa2443CgkG70yPlFPecWw,https://api.spotify.com/v1/tracks/3pa2443CgkG70yPlFPecWw,https://api.spotify.com/v1/audio-analysis/3pa2443CgkG70yPlFPecWw,280126.0,4.0,"Twenty Five Scottish Songs, Op. 108: XX. Faithfu' Johnnie (Scottish Folksong Arrangements)",Oh sweet were the hours,Oh sweet were the hours,2021-01-29,0dN9C3gr00mWb2FKLVfMiX
351,0.541,0.106,1.0,-21.624,0.0,0.0565,0.972,0.00281,0.107,0.51,86.677,audio_features,35DSzW4J4eoZHAPWtp0vzG,spotify:track:35DSzW4J4eoZHAPWtp0vzG,https://api.spotify.com/v1/tracks/35DSzW4J4eoZHAPWtp0vzG,https://api.spotify.com/v1/audio-analysis/35DSzW4J4eoZHAPWtp0vzG,221144.0,1.0,"Twenty Five Scottish Songs, Op. 108: XVIII. Enchantress, farewell (Scottish Folksong Arrangements)",Oh sweet were the hours,Oh sweet were the hours,2021-01-29,0dN9C3gr00mWb2FKLVfMiX
353,0.415,0.0765,10.0,-22.885,1.0,0.057,0.951,3.16e-05,0.167,0.382,79.866,audio_features,3oF8aaaU9nhPfGnWnwdye3,spotify:track:3oF8aaaU9nhPfGnWnwdye3,https://api.spotify.com/v1/tracks/3oF8aaaU9nhPfGnWnwdye3,https://api.spotify.com/v1/audio-analysis/3oF8aaaU9nhPfGnWnwdye3,120841.0,4.0,"Twelve Scottish Songs, WoO156: VII. Polly Stewart (Scottish Folksong Arrangements)",Oh sweet were the hours,Oh sweet were the hours,2021-01-29,0dN9C3gr00mWb2FKLVfMiX
318,0.0923,0.0754,2.0,-22.768,1.0,0.0344,0.981,0.48,0.0989,0.0391,85.821,audio_features,2CIkZxLhdvsKuZYKllaFXX,spotify:track:2CIkZxLhdvsKuZYKllaFXX,https://api.spotify.com/v1/tracks/2CIkZxLhdvsKuZYKllaFXX,https://api.spotify.com/v1/audio-analysis/2CIkZxLhdvsKuZYKllaFXX,523253.0,3.0,"Missa solemnis, Op. 123: Kyrie ""Kyrie eleison"" - ""Christie eleison"" - ""Kyrie eleison""","Beethoven: Missa solemnis, Op. 123","Beethoven: Missa solemnis, Op. 123",2021-02-05,2aDZzJ3MGBGPwVYJBEUB1E
317,0.264,0.0326,0.0,-28.211,1.0,0.0374,0.982,0.917,0.695,0.0384,67.792,audio_features,0tcjlDB1idaI6M3o0kPVN5,spotify:track:0tcjlDB1idaI6M3o0kPVN5,https://api.spotify.com/v1/tracks/0tcjlDB1idaI6M3o0kPVN5,https://api.spotify.com/v1/audio-analysis/0tcjlDB1idaI6M3o0kPVN5,1082919.0,4.0,"Piano Sonata No. 32 in C Minor, Op. 111: Arietta. Adagio molto semplice e cantabile (Live)",Beethoven Bookends (Live),Beethoven Bookends,2021-02-05,2lgdLb3GXdy6RzGU9woGa3
316,0.364,0.0685,8.0,-24.521,1.0,0.0417,0.984,0.923,0.116,0.159,128.5,audio_features,1nikDSbCdXAbPDkbIHMUdA,spotify:track:1nikDSbCdXAbPDkbIHMUdA,https://api.spotify.com/v1/tracks/1nikDSbCdXAbPDkbIHMUdA,https://api.spotify.com/v1/audio-analysis/1nikDSbCdXAbPDkbIHMUdA,595585.0,4.0,"Piano Sonata No. 32 in C Minor, Op. 111: I. Maestoso - Allegro con brio ed appassionato (Live)",Beethoven Bookends (Live),Beethoven Bookends,2021-02-05,2lgdLb3GXdy6RzGU9woGa3
315,0.363,0.0606,10.0,-31.358,1.0,0.268,0.972,0.9,0.663,0.6,63.468,audio_features,0Xu8kVFVAmHNU6ZsihMRHW,spotify:track:0Xu8kVFVAmHNU6ZsihMRHW,https://api.spotify.com/v1/tracks/0Xu8kVFVAmHNU6ZsihMRHW,https://api.spotify.com/v1/audio-analysis/0Xu8kVFVAmHNU6ZsihMRHW,157709.0,4.0,"11 Bagatelles, Op. 119: No. 11, Andante, ma non troppo (Live)",Beethoven Bookends (Live),Beethoven Bookends,2021-02-05,2lgdLb3GXdy6RzGU9woGa3
314,0.37,0.0824,4.0,-27.216,1.0,0.0488,0.974,0.935,0.127,0.532,106.796,audio_features,1m9OsVCwuDcc3XwlEI62sp,spotify:track:1m9OsVCwuDcc3XwlEI62sp,https://api.spotify.com/v1/tracks/1m9OsVCwuDcc3XwlEI62sp,https://api.spotify.com/v1/audio-analysis/1m9OsVCwuDcc3XwlEI62sp,18000.0,3.0,"11 Bagatelles, Op. 119: No. 10, Allegramente (Live)",Beethoven Bookends (Live),Beethoven Bookends,2021-02-05,2lgdLb3GXdy6RzGU9woGa3
313,0.407,0.0276,10.0,-26.656,1.0,0.0439,0.992,0.963,0.117,0.354,130.072,audio_features,60xYn8ggvz6hB6TnFKfItU,spotify:track:60xYn8ggvz6hB6TnFKfItU,https://api.spotify.com/v1/tracks/60xYn8ggvz6hB6TnFKfItU,https://api.spotify.com/v1/audio-analysis/60xYn8ggvz6hB6TnFKfItU,50333.0,5.0,"11 Bagatelles, Op. 119: No. 9, Vivace moderato (Live)",Beethoven Bookends (Live),Beethoven Bookends,2021-02-05,2lgdLb3GXdy6RzGU9woGa3
312,0.46,0.00957,0.0,-34.177,1.0,0.0904,0.995,0.882,0.0819,0.285,142.585,audio_features,6YWJE8KhuPKOnSq8jDpsGY,spotify:track:6YWJE8KhuPKOnSq8jDpsGY,https://api.spotify.com/v1/tracks/6YWJE8KhuPKOnSq8jDpsGY,https://api.spotify.com/v1/audio-analysis/6YWJE8KhuPKOnSq8jDpsGY,120500.0,4.0,"11 Bagatelles, Op. 119: No. 8, Moderato cantabile (Live)",Beethoven Bookends (Live),Beethoven Bookends,2021-02-05,2lgdLb3GXdy6RzGU9woGa3
